,features,coef,abs_val
191,Fence_MnWw,-0.0027313238792628187,0.0027313238792628187
153,Exterior2nd_Plywood,-0.002701733826557341,0.002701733826557341
67,Neighborhood_Blueste,0.002551422899557939,0.002551422899557939
64,LotConfig_FR2,-0.002483145620005482,0.002483145620005482
111,BldgType_Twnhs,-0.0024119230097186762,0.0024119230097186762
59,LandContour_HLS,0.0023584167752650122,0.0023584167752650122
171,Heating_OthW,-0.002295644712364441,0.002295644712364441
83,Neighborhood_NWAmes,-0.0022244642145892815,0.0022244642145892815
186,GarageFinish_Unf,-0.002129610091425675,0.002129610091425675
147,Exterior2nd_BrkFace,-0.0020783962238207355,0.0020783962238207355
143,Exterior1st_Wd Sdng,-0.0020381410572998366,0.0020381410572998366
175,Electrical_FuseP,0.0019089730327517358,0.0019089730327517358
55,MSZoning_RM,-0.0018756764673775199,0.0018756764673775199
177,Electrical_SBrkr,0.0018230339847449236,0.0018230339847449236
114,HouseStyle_1Story,0.001819508885823435,0.001819508885823435
148,Exterior2nd_CBlock,0.001799461745889995,0.001799461745889995
98,Condition1_RRAe,-0.0016949587967557119,0.0016949587967557119
86,Neighborhood_OldTown,-0.0016942151782678183,0.0016942151782678183
125,RoofMatl_Membran,0.001669922030464039,0.001669922030464039
80,Neighborhood_Mitchel,-0.0015979752602971913,0.0015979752602971913
193,SaleCondition_AdjLand,0.001577534887001387,0.001577534887001387
65,LotConfig_FR3,-0.001559984509297103,0.001559984509297103
32,FireplaceQu,0.0015537139668873228,0.0015537139668873228
145,Exterior2nd_AsphShn,0.0015074685479834675,0.0015074685479834675
112,BldgType_TwnhsE,0.0013973052275016462,0.0013973052275016462
61,LandContour_Lvl,0.001292855048073961,0.001292855048073961
109,BldgType_2fmCon,-0.0012833855172867529,0.0012833855172867529
38,YrSold,-0.001134666088017133,0.001134666088017133
108,Condition2_RRNn,0.0011346229811974105,0.0011346229811974105
172,Heating_Wall,0.0010154811262191588,0.0010154811262191588
156,Exterior2nd_Stucco,0.0010119600614466651,0.0010119600614466651
20,BsmtHalfBath,0.0009784350003003892,0.0009784350003003892
66,LotConfig_Inside,0.0009423022889120415,0.0009423022889120415
16,ExterCond,-0.0009302267218660515,0.0009302267218660515
116,HouseStyle_2.5Unf,0.0009241200917926236,0.0009241200917926236
71,Neighborhood_CollgCr,-0.0008580943008348372,0.0008580943008348372
57,Alley_None,0.0008132664782696716,0.0008132664782696716
68,Neighborhood_BrDale,0.0006580369499180404,0.0006580369499180404
101,Condition1_RRNn,0.0006457455119582233,0.0006457455119582233
49,MoSold,-0.0006088754970503454,0.0006088754970503454
9,log_BsmtFinSF1,-0.0006055600648081687,0.0006055600648081687
192,Fence_No,-0.000603454107421649,0.000603454107421649
63,LotConfig_CulDSac,0.0004783813828033212,0.0004783813828033212
144,Exterior1st_WdShing,0.0004783146996401837,0.0004783146996401837
159,Exterior2nd_Wd Shng,0.0004218777302796573,0.0004218777302796573
100,Condition1_RRNe,0.00037785685594662953,0.00037785685594662953
36,LotShape,-0.0003331625227673727,0.0003331625227673727
137,Exterior1st_ImStucc,-0.00023791067270918716,0.00023791067270918716
167,Foundation_Wood,-0.00019941683883513368,0.00019941683883513368
107,Condition2_RRAn,-0.00018678958841604796,0.00018678958841604796
92,Neighborhood_Timber,0.00018355421778287496,0.00018355421778287496
139,Exterior1st_Plywood,-0.00017885822650829785,0.00017885822650829785
